osm_element,osm_id,building,area_m2,lat,lon,shadow_mass,levels,height_source,osm_url
way,1109634650,yes,1895.0,51.129101,71.548153,43.5,,manual,https://www.openstreetmap.org/way/1109634650
way,426120419,yes,1893.0,51.170242,71.409814,43.5,,manual,https://www.openstreetmap.org/way/426120419
way,334994306,yes,1891.0,51.1231,71.410407,43.5,,manual,https://www.openstreetmap.org/way/334994306
relation,15514520,yes,1890.0,51.1277,71.489687,43.5,,manual,https://www.openstreetmap.org/relation/15514520
way,1214276613,house,1890.0,51.086317,71.512752,43.5,,manual,https://www.openstreetmap.org/way/1214276613
way,242016660,yes,1889.0,51.20487,71.443972,43.5,,manual,https://www.openstreetmap.org/way/242016660
way,1179971331,yes,1884.0,51.163604,71.5399,43.4,,manual,https://www.openstreetmap.org/way/1179971331
way,1443091362,yes,1884.0,51.080226,71.444565,43.4,,manual,https://www.openstreetmap.org/way/1443091362
way,1117136709,yes,1877.0,51.143336,71.538596,43.3,,manual,https://www.openstreetmap.org/way/1117136709
way,1113747463,construction,300.0,51.109995,71.464575,43.3,,manual,https://www.openstreetmap.org/way/1113747463
way,1530014510,industrial,1873.0,51.193355,71.396031,43.3,,manual,https://www.openstreetmap.org/way/1530014510
way,258120756,yes,1871.0,51.175077,71.459786,43.3,,manual,https://www.openstreetmap.org/way/258120756
way,1113747466,construction,299.0,51.111454,71.465123,43.2,,manual,https://www.openstreetmap.org/way/1113747466
way,240931366,yes,1868.0,51.163873,71.491837,43.2,,manual,https://www.openstreetmap.org/way/240931366
way,426105078,yes,1868.0,51.161819,71.525159,43.2,,manual,https://www.openstreetmap.org/way/426105078
way,583675000,yes,1867.0,51.174354,71.464317,43.2,,manual,https://www.openstreetmap.org/way/583675000
way,1100947363,yes,1864.0,51.141695,71.518138,43.2,,manual,https://www.openstreetmap.org/way/1100947363
way,241584488,yes,1863.0,51.190557,71.335235,43.2,,manual,https://www.openstreetmap.org/way/241584488
relation,8451608,yes,1862.0,51.152685,71.493661,43.1,,manual,https://www.openstreetmap.org/relation/8451608
way,506040323,yes,1861.0,51.100431,71.427444,43.1,,manual,https://www.openstreetmap.org/way/506040323
way,258113647,yes,1860.0,51.17358,71.463241,43.1,,manual,https://www.openstreetmap.org/way/258113647
way,1056906842,yes,1856.0,51.161502,71.565368,43.1,,manual,https://www.openstreetmap.org/way/1056906842
way,918597318,yes,1854.0,51.163117,71.404222,43.1,,manual,https://www.openstreetmap.org/way/918597318
way,1109634587,yes,1853.0,51.201419,71.49443,43.0,,manual,https://www.openstreetmap.org/way/1109634587
way,241206155,retail,463.0,51.166916,71.411785,43.0,,manual,https://www.openstreetmap.org/way/241206155
way,1113747479,construction,296.0,51.112749,71.465616,43.0,,manual,https://www.openstreetmap.org/way/1113747479
way,241248645,yes,1844.0,51.174418,71.46349,42.9,,manual,https://www.openstreetmap.org/way/241248645
way,411091261,yes,1843.0,51.143574,71.412044,42.9,,manual,https://www.openstreetmap.org/way/411091261
way,1105503940,garage,1843.0,51.175863,71.381425,42.9,,manual,https://www.openstreetmap.org/way/1105503940
way,1475405549,construction,295.0,51.097616,71.496793,42.9,,manual,https://www.openstreetmap.org/way/1475405549
way,258120809,yes,1842.0,51.174283,71.461367,42.9,,manual,https://www.openstreetmap.org/way/258120809
way,243299277,yes,1841.0,51.20234,71.359704,42.9,,manual,https://www.openstreetmap.org/way/243299277
way,243183887,yes,1839.0,51.146467,71.378805,42.9,,manual,https://www.openstreetmap.org/way/243183887
way,243059463,yes,1837.0,51.134905,71.456297,42.9,,manual,https://www.openstreetmap.org/way/243059463
way,925184222,yes,1836.0,51.174857,71.533784,42.9,,manual,https://www.openstreetmap.org/way/925184222
way,241584555,yes,1833.0,51.203171,71.362966,42.8,,manual,https://www.openstreetmap.org/way/241584555
relation,8466681,yes,1833.0,51.151996,71.467304,42.8,,manual,https://www.openstreetmap.org/relation/8466681
way,242016716,yes,1832.0,51.188344,71.447522,42.8,,manual,https://www.openstreetmap.org/way/242016716
way,242012154,yes,1831.0,51.183265,71.451921,42.8,,manual,https://www.openstreetmap.org/way/242012154
way,241492298,yes,1830.0,51.20884,71.400051,42.8,,manual,https://www.openstreetmap.org/way/241492298
way,922352553,yes,1828.0,51.180293,71.494669,42.8,,manual,https://www.openstreetmap.org/way/922352553
way,258108761,yes,1828.0,51.169081,71.459789,42.8,,manual,https://www.openstreetmap.org/way/258108761
way,243301700,yes,1827.0,51.153297,71.407634,42.7,,manual,https://www.openstreetmap.org/way/243301700
way,1089059386,yes,1827.0,51.155353,71.47424,42.7,,manual,https://www.openstreetmap.org/way/1089059386
way,258228665,garages,1826.0,51.040043,71.433279,42.7,,manual,https://www.openstreetmap.org/way/258228665
way,1076775771,yes,1825.0,51.077997,71.397312,42.7,,manual,https://www.openstreetmap.org/way/1076775771
way,1104051494,yes,1823.0,51.230227,71.388685,42.7,,manual,https://www.openstreetmap.org/way/1104051494
way,1056906841,yes,1822.0,51.160891,71.564636,42.7,,manual,https://www.openstreetmap.org/way/1056906841
way,1113747484,construction,292.0,51.114126,71.466174,42.7,,manual,https://www.openstreetmap.org/way/1113747484
way,1104676295,yes,1822.0,51.188884,71.446849,42.7,,manual,https://www.openstreetmap.org/way/1104676295
way,243780950,yes,1820.0,51.222509,71.402573,42.7,,manual,https://www.openstreetmap.org/way/243780950
way,258628260,yes,1815.0,51.17701,71.49606,42.6,,manual,https://www.openstreetmap.org/way/258628260
way,1077903091,yes,1814.0,51.186409,71.34602,42.6,,manual,https://www.openstreetmap.org/way/1077903091
way,923618876,yes,1810.0,51.169745,71.393645,42.5,,manual,https://www.openstreetmap.org/way/923618876
way,1547024199,construction,289.0,51.106897,71.367231,42.5,,manual,https://www.openstreetmap.org/way/1547024199
way,260540449,yes,1808.0,51.196463,71.453306,42.5,,manual,https://www.openstreetmap.org/way/260540449
way,112366525,yes,1808.0,51.15511,71.476296,42.5,,manual,https://www.openstreetmap.org/way/112366525
way,1102541628,yes,1804.0,51.221706,71.524846,42.5,,manual,https://www.openstreetmap.org/way/1102541628
way,1475405550,construction,289.0,51.09724,71.496898,42.5,,manual,https://www.openstreetmap.org/way/1475405550
way,242012132,industrial,1803.0,51.188301,71.454037,42.5,,manual,https://www.openstreetmap.org/way/242012132
way,916153709,yes,1802.0,51.127915,71.363364,42.4,,manual,https://www.openstreetmap.org/way/916153709
way,1531635582,yes,1802.0,51.116028,71.527345,42.4,,manual,https://www.openstreetmap.org/way/1531635582
way,1513408222,yes,1801.0,51.112687,71.539285,42.4,,manual,https://www.openstreetmap.org/way/1513408222
way,243301713,yes,1800.0,51.148775,71.378677,42.4,,manual,https://www.openstreetmap.org/way/243301713
way,243067367,yes,1800.0,51.164643,71.487731,42.4,,manual,https://www.openstreetmap.org/way/243067367
way,914979614,yes,1800.0,51.088678,71.426175,42.4,,manual,https://www.openstreetmap.org/way/914979614
way,1456888958,yes,1798.0,51.105103,71.400079,42.4,,manual,https://www.openstreetmap.org/way/1456888958
way,916234778,yes,1797.0,51.15364,71.410466,42.4,,manual,https://www.openstreetmap.org/way/916234778
way,425390954,yes,1797.0,51.205649,71.366893,42.4,,manual,https://www.openstreetmap.org/way/425390954
way,1124566892,yes,1795.0,51.213593,71.406725,42.4,,manual,https://www.openstreetmap.org/way/1124566892
